ds,yhat_lower,yhat_upper,yhat,y
1880-01-06,-0.40000212,0.094266413,-0.159380372,0.0009
1880-02-06,-0.419435693,0.09566042,-0.162426721,-0.1229
1880-03-06,-0.380652003,0.122974532,-0.138069945,-0.1357
1880-04-06,-0.392708867,0.144261394,-0.13255487,-0.0499
1880-05-06,-0.383853032,0.138149731,-0.128199398,-0.0738
1880-06-06,-0.405743556,0.108510394,-0.154491154,-0.1692
1880-07-06,-0.40312457,0.108105294,-0.154131724,-0.1491
1880-08-06,-0.409576297,0.101583402,-0.156874281,-0.0725
1880-09-06,-0.389878556,0.147378169,-0.133978763,-0.0817
1880-10-06,-0.393309686,0.088868897,-0.152130208,-0.1786
1880-11-06,-0.439691631,0.100590528,-0.16880668,-0.2672
1880-12-06,-0.367131246,0.148892848,-0.103558593,-0.0775
1881-01-06,-0.462426609,0.076407029,-0.172217432,-0.0205
1881-02-06,-0.435987092,0.074470516,-0.180586568,-0.0296
1881-03-06,-0.408310272,0.121809491,-0.143374169,0.0348
1881-04-06,-0.397613756,0.118495061,-0.139815257,0.0734
1881-05-06,-0.381156447,0.123103325,-0.137193642,0.0284
1881-06-06,-0.418816035,0.098630722,-0.158622724,-0.0892
1881-07-06,-0.394410749,0.102392219,-0.15836547,-0.0329
1881-08-06,-0.419047875,0.095918378,-0.160496437,-0.0519
1881-09-06,-0.378993196,0.114163996,-0.14170696,-0.1824
1881-10-06,-0.40299332,0.093541514,-0.156813153,-0.2207
1881-11-06,-0.443758201,0.094740011,-0.170575478,-0.2194
1881-12-06,-0.352840376,0.163195301,-0.117834112,-0.0439
1882-01-06,-0.433038317,0.112348893,-0.175462759,0.0883
1882-02-06,-0.46241401,0.094903872,-0.181893232,0.0385
1882-03-06,-0.414751392,0.102547089,-0.148788073,0.0754
1882-04-06,-0.416089055,0.124721807,-0.14714918,-0.1241
1882-05-06,-0.395163992,0.084864142,-0.146142356,-0.1459
1882-06-06,-0.423144746,0.088979141,-0.162664959,-0.1391
1882-07-06,-0.435766529,0.103267021,-0.162580734,-0.0666
1882-08-06,-0.407126457,0.091722662,-0.164160356,-0.0037
1882-09-06,-0.40690292,0.099064004,-0.149463684,0.0077
1882-10-06,-0.398383927,0.107887635,-0.161462217,-0.2101
1882-11-06,-0.432193766,0.073698122,-0.17244294,-0.1279
1882-12-06,-0.380159342,0.130153013,-0.132117511,-0.1705
1883-01-06,-0.427754764,0.071618692,-0.178520997,-0.2707
1883-02-06,-0.42242156,0.085224171,-0.183175645,-0.2915
1883-03-06,-0.402578531,0.119540715,-0.15431244,-0.1326
1883-04-06,-0.436870422,0.104059192,-0.154553604,-0.1746
1883-05-06,-0.39967183,0.107006911,-0.155041097,-0.1455
1883-06-06,-0.407256155,0.112025794,-0.166618693,-0.0066
1883-07-06,-0.423841778,0.098393807,-0.166779993,-0.0849
1883-08-06,-0.417061477,0.092775497,-0.167868215,-0.0526
1883-09-06,-0.423227251,0.084479039,-0.157247255,-0.1467
1883-10-06,-0.457092211,0.107610434,-0.166078467,-0.1612
1883-11-06,-0.430899588,0.07006355,-0.174411284,-0.1683
1883-12-06,-0.405911115,0.093510715,-0.146400037,-0.0738
1884-01-06,-0.443360211,0.062428059,-0.181393495,-0.1843
1884-02-06,-0.439552886,0.071642625,-0.184439844,-0.143
1884-03-06,-0.422303736,0.09168817,-0.160083068,-0.2061
1884-04-06,-0.423874058,0.095445957,-0.154567993,-0.1809
1884-05-06,-0.395879631,0.12062122,-0.150212521,-0.1282
1884-06-06,-0.437086129,0.072891327,-0.176504277,-0.1939
1884-07-06,-0.423743497,0.097094742,-0.176144847,-0.2985
1884-08-06,-0.436713836,0.08465269,-0.178887404,-0.2698
1884-09-06,-0.412779064,0.089356704,-0.155991886,-0.2238
1884-10-06,-0.448935639,0.085343823,-0.174143331,-0.1695
1884-11-06,-0.446424574,0.083796646,-0.190819803,-0.2692
1884-12-06,-0.398959758,0.126442676,-0.125571716,-0.144
1885-01-06,-0.462119042,0.073227981,-0.194230555,-0.4267
1885-02-06,-0.457983903,0.052426831,-0.202599691,-0.2558
1885-03-06,-0.431793166,0.085740329,-0.165387292,-0.1473
1885-04-06,-0.433199848,0.093902266,-0.16182838,-0.2564
1885-05-06,-0.411590274,0.108789862,-0.159206765,-0.2787
1885-06-06,-0.443263231,0.089388596,-0.180635847,-0.3052
1885-07-06,-0.445266188,0.073498111,-0.180378593,-0.2375
1885-08-06,-0.443137677,0.087909806,-0.182509559,-0.2407
1885-09-06,-0.411502039,0.069460517,-0.163720083,-0.1963
1885-10-06,-0.430813492,0.086294041,-0.178826276,-0.1289
1885-11-06,-0.43575105,0.081147366,-0.192588601,-0.1262
1885-12-06,-0.405905725,0.141356981,-0.139847234,0.05
1886-01-06,-0.464641077,0.06568616,-0.197475881,-0.1143
1886-02-06,-0.454486735,0.065461859,-0.203906355,-0.2795
1886-03-06,-0.414658248,0.053980519,-0.170801196,-0.2823
1886-04-06,-0.428393717,0.098399484,-0.169162302,-0.1679
1886-05-06,-0.426285648,0.098208928,-0.168155479,-0.1573
1886-06-06,-0.433248787,0.054758663,-0.184678081,-0.2468
1886-07-06,-0.435750953,0.05457506,-0.184593857,-0.1599
1886-08-06,-0.446127767,0.070312596,-0.186173479,-0.2146
1886-09-06,-0.438865118,0.082495887,-0.171476807,-0.1969
1886-10-06,-0.447179587,0.084277634,-0.183475339,-0.2261
1886-11-06,-0.463567266,0.070756121,-0.194456062,-0.1952
1886-12-06,-0.391982206,0.106522123,-0.154130634,-0.163
1887-01-06,-0.4753984,0.065202611,-0.20053412,-0.3792
1887-02-06,-0.442110083,0.057496165,-0.205188768,-0.3745
1887-03-06,-0.448687328,0.105069956,-0.176325563,-0.1655
1887-04-06,-0.449022554,0.086176002,-0.176566726,-0.1899
1887-05-06,-0.439815961,0.094352932,-0.17705422,-0.239
1887-06-06,-0.444870782,0.067073194,-0.188631815,-0.2149
1887-07-06,-0.441430903,0.080777546,-0.188793116,-0.2707
1887-08-06,-0.449278465,0.063722407,-0.189881337,-0.3148
1887-09-06,-0.418444156,0.083659042,-0.179260378,-0.1827
1887-10-06,-0.459585405,0.063887894,-0.18809159,-0.2995
1887-11-06,-0.448730987,0.081379423,-0.196424407,-0.1572
1887-12-06,-0.423491852,0.089416857,-0.168413159,-0.1988
1888-01-06,-0.461614867,0.061958047,-0.203406618,-0.3871
1888-02-06,-0.459416817,0.040901284,-0.206452966,-0.3288
1888-03-06,-0.416624544,0.07249309,-0.18209619,-0.2974
1888-04-06,-0.465080276,0.064539671,-0.176581116,-0.1761
1888-05-06,-0.444707587,0.089058526,-0.172225643,-0.1561
1888-06-06,-0.466100234,0.057762302,-0.1985174,-0.0943
1888-07-06,-0.461982629,0.045384212,-0.198157969,-0.1149
1888-08-06,-0.467515232,0.056591057,-0.200900526,-0.1633
1888-09-06,-0.444227288,0.08077255,-0.178005008,-0.069
1888-10-06,-0.467712183,0.065790538,-0.196156453,0.019
1888-11-06,-0.462612353,0.05094406,-0.212832926,-0.0418
1888-12-06,-0.407621905,0.102916609,-0.147584838,0.0445
1889-01-06,-0.477974353,0.040180153,-0.216243677,-0.0944
1889-02-06,-0.506554575,0.046112132,-0.224612813,0.0152
1889-03-06,-0.439699803,0.053170371,-0.187400414,0.1207
1889-04-06,-0.424903226,0.066973573,-0.183841502,0.0496
1889-05-06,-0.443806105,0.082402683,-0.181219888,-0.0326
1889-06-06,-0.479565418,0.057505932,-0.202648969,-0.0698
1889-07-06,-0.459191408,0.055800355,-0.202391715,-0.1604
1889-08-06,-0.472072163,0.060855438,-0.204522682,-0.137
1889-09-06,-0.443811716,0.075854571,-0.185733205,-0.2264
1889-10-06,-0.479919643,0.044967288,-0.200839398,-0.1913
1889-11-06,-0.468832284,0.032896319,-0.214601723,-0.2769
1889-12-06,-0.413450697,0.088588736,-0.161860357,-0.175
1890-01-06,-0.476201772,0.02210638,-0.219489004,-0.3594
1890-02-06,-0.471707938,0.021666762,-0.225919477,-0.4268
1890-03-06,-0.456703401,0.059192963,-0.192814318,-0.3189
1890-04-06,-0.459243145,0.060857531,-0.191175425,-0.2588
1890-05-06,-0.448460888,0.090995079,-0.190168602,-0.3892
1890-06-06,-0.482467649,0.04881506,-0.206691204,-0.2875
1890-07-06,-0.462327613,0.061754081,-0.206606979,-0.2802
1890-08-06,-0.444321858,0.052145986,-0.208186601,-0.3257
1890-09-06,-0.453089144,0.070688044,-0.193489929,-0.3508
1890-10-06,-0.449997155,0.062799905,-0.205488462,-0.2941
1890-11-06,-0.489295775,0.03960149,-0.216469185,-0.3419
1890-12-06,-0.423123498,0.094167641,-0.176143756,-0.2302
1891-01-06,-0.474160585,0.047901993,-0.222547242,-0.3772
1891-02-06,-0.470410499,0.026488985,-0.22720189,-0.5228
1891-03-06,-0.454944072,0.074934187,-0.198338685,-0.212
1891-04-06,-0.460267513,0.041164954,-0.198579849,-0.2523
1891-05-06,-0.446444904,0.074094877,-0.199067342,-0.1374
1891-06-06,-0.471861968,0.056755126,-0.210644938,-0.2023
