,ds,yhat_lower,yhat_upper,yhat,y
0,1880-01-06,-0.426729083,0.111775801,-0.159380372,0.0009
1,1880-02-06,-0.418145409,0.098019628,-0.162426721,-0.1229
2,1880-03-06,-0.380400883,0.125579133,-0.138069945,-0.1357
3,1880-04-06,-0.396800082,0.122444278,-0.13255487,-0.0499
4,1880-05-06,-0.377705176,0.130798092,-0.128199398,-0.0738
5,1880-06-06,-0.402144623,0.109760357,-0.154491154,-0.1692
6,1880-07-06,-0.431312742,0.121170961,-0.154131724,-0.1491
7,1880-08-06,-0.405071105,0.111610644,-0.156874281,-0.0725
8,1880-09-06,-0.394028969,0.14624758,-0.133978763,-0.0817
9,1880-10-06,-0.413884981,0.106013656,-0.152130208,-0.1786
10,1880-11-06,-0.434403069,0.094282011,-0.16880668,-0.2672
11,1880-12-06,-0.366417045,0.153397903,-0.103558593,-0.0775
12,1881-01-06,-0.440745206,0.091591282,-0.172217432,-0.0205
13,1881-02-06,-0.459879564,0.077856227,-0.180586568,-0.0296
14,1881-03-06,-0.39686872,0.117377522,-0.143374169,0.0348
15,1881-04-06,-0.400424689,0.108306723,-0.139815257,0.0734
16,1881-05-06,-0.410292592,0.133375549,-0.137193642,0.0284
17,1881-06-06,-0.408348314,0.084511438,-0.158622724,-0.0892
18,1881-07-06,-0.42241552,0.098103248,-0.15836547,-0.0329
19,1881-08-06,-0.419583275,0.090233326,-0.160496437,-0.0519
20,1881-09-06,-0.396019194,0.134714784,-0.14170696,-0.1824
21,1881-10-06,-0.416443441,0.114060734,-0.156813153,-0.2207
22,1881-11-06,-0.428477916,0.078390997,-0.170575478,-0.2194
23,1881-12-06,-0.379874608,0.114999551,-0.117834112,-0.0439
24,1882-01-06,-0.427372001,0.083822955,-0.175462759,0.0883
25,1882-02-06,-0.423267261,0.082900317,-0.181893232,0.0385
26,1882-03-06,-0.401412597,0.120473574,-0.148788073,0.0754
27,1882-04-06,-0.406890687,0.086920441,-0.14714918,-0.1241
28,1882-05-06,-0.408497276,0.10725279,-0.146142356,-0.1459
29,1882-06-06,-0.438842802,0.084725252,-0.162664959,-0.1391
30,1882-07-06,-0.428193064,0.111679474,-0.162580734,-0.0666
31,1882-08-06,-0.434544257,0.0860312,-0.164160356,-0.0037
32,1882-09-06,-0.400031349,0.104096614,-0.149463684,0.0077
33,1882-10-06,-0.407435141,0.094331841,-0.161462217,-0.2101
34,1882-11-06,-0.437739764,0.075181408,-0.17244294,-0.1279
35,1882-12-06,-0.4073686,0.136028516,-0.132117511,-0.1705
36,1883-01-06,-0.445820239,0.065824709,-0.178520997,-0.2707
37,1883-02-06,-0.4343486,0.072118873,-0.183175645,-0.2915
38,1883-03-06,-0.408603988,0.106163772,-0.15431244,-0.1326
39,1883-04-06,-0.422839586,0.078291957,-0.154553604,-0.1746
40,1883-05-06,-0.414177598,0.106423562,-0.155041097,-0.1455
41,1883-06-06,-0.427053974,0.107382514,-0.166618693,-0.0066
42,1883-07-06,-0.422524062,0.090165183,-0.166779993,-0.0849
43,1883-08-06,-0.427625086,0.092895247,-0.167868215,-0.0526
44,1883-09-06,-0.408628477,0.102156715,-0.157247255,-0.1467
45,1883-10-06,-0.42549061,0.106135661,-0.166078467,-0.1612
46,1883-11-06,-0.424888759,0.074464034,-0.174411284,-0.1683
47,1883-12-06,-0.40000315,0.116341514,-0.146400037,-0.0738
48,1884-01-06,-0.438056418,0.084653809,-0.181393495,-0.1843
49,1884-02-06,-0.435775118,0.069911821,-0.184439844,-0.143
50,1884-03-06,-0.405831496,0.120375537,-0.160083068,-0.2061
51,1884-04-06,-0.402418481,0.105867983,-0.154567993,-0.1809
52,1884-05-06,-0.404737213,0.115992457,-0.150212521,-0.1282
53,1884-06-06,-0.444268391,0.076801397,-0.176504277,-0.1939
54,1884-07-06,-0.429394146,0.089758882,-0.176144847,-0.2985
55,1884-08-06,-0.429552691,0.080034581,-0.178887404,-0.2698
56,1884-09-06,-0.410945988,0.112481362,-0.155991886,-0.2238
57,1884-10-06,-0.451191293,0.116740508,-0.174143331,-0.1695
58,1884-11-06,-0.43475121,0.062208376,-0.190819803,-0.2692
59,1884-12-06,-0.372274671,0.137564429,-0.125571716,-0.144
60,1885-01-06,-0.456721027,0.072797935,-0.194230555,-0.4267
61,1885-02-06,-0.47093741,0.063864809,-0.202599691,-0.2558
62,1885-03-06,-0.424464377,0.106777239,-0.165387292,-0.1473
63,1885-04-06,-0.426172682,0.099703597,-0.16182838,-0.2564
64,1885-05-06,-0.419282185,0.096752914,-0.159206765,-0.2787
65,1885-06-06,-0.445807311,0.082827482,-0.180635847,-0.3052
66,1885-07-06,-0.429090275,0.090597047,-0.180378593,-0.2375
67,1885-08-06,-0.44675784,0.068711438,-0.182509559,-0.2407
68,1885-09-06,-0.429754755,0.074232805,-0.163720083,-0.1963
69,1885-10-06,-0.425082316,0.079343646,-0.178826276,-0.1289
70,1885-11-06,-0.448662895,0.059907694,-0.192588601,-0.1262
71,1885-12-06,-0.386866966,0.121491881,-0.139847234,0.05
72,1886-01-06,-0.469054197,0.056663662,-0.197475881,-0.1143
73,1886-02-06,-0.455617324,0.056195294,-0.203906355,-0.2795
74,1886-03-06,-0.463118951,0.089543237,-0.170801196,-0.2823
75,1886-04-06,-0.429828718,0.093836872,-0.169162302,-0.1679
76,1886-05-06,-0.447623888,0.109702429,-0.168155479,-0.1573
77,1886-06-06,-0.432632431,0.069984873,-0.184678081,-0.2468
78,1886-07-06,-0.450003555,0.068023469,-0.184593857,-0.1599
79,1886-08-06,-0.445948408,0.086712062,-0.186173479,-0.2146
80,1886-09-06,-0.433263205,0.091415851,-0.171476807,-0.1969
81,1886-10-06,-0.44684339,0.082181196,-0.183475339,-0.2261
82,1886-11-06,-0.454072545,0.060126762,-0.194456062,-0.1952
83,1886-12-06,-0.406619482,0.113617904,-0.154130634,-0.163
84,1887-01-06,-0.468693188,0.040747696,-0.20053412,-0.3792
85,1887-02-06,-0.459180163,0.043991811,-0.205188768,-0.3745
86,1887-03-06,-0.4350886,0.078940585,-0.176325563,-0.1655
87,1887-04-06,-0.435086494,0.082530476,-0.176566726,-0.1899
88,1887-05-06,-0.442267338,0.088723342,-0.17705422,-0.239
89,1887-06-06,-0.433624352,0.066694427,-0.188631815,-0.2149
90,1887-07-06,-0.420880101,0.063995421,-0.188793116,-0.2707
91,1887-08-06,-0.445640532,0.085300521,-0.189881337,-0.3148
92,1887-09-06,-0.427565196,0.044451673,-0.179260378,-0.1827
93,1887-10-06,-0.448140283,0.043787139,-0.18809159,-0.2995
94,1887-11-06,-0.474999622,0.07583455,-0.196424407,-0.1572
95,1887-12-06,-0.442990616,0.100587988,-0.168413159,-0.1988
96,1888-01-06,-0.460378198,0.066363093,-0.203406618,-0.3871
97,1888-02-06,-0.467754996,0.038232944,-0.206452966,-0.3288
98,1888-03-06,-0.426860693,0.072890549,-0.18209619,-0.2974
99,1888-04-06,-0.406604346,0.066971943,-0.176581116,-0.1761
100,1888-05-06,-0.427516129,0.101148074,-0.172225643,-0.1561
101,1888-06-06,-0.468795454,0.055346084,-0.1985174,-0.0943
102,1888-07-06,-0.463334043,0.069446188,-0.198157969,-0.1149
103,1888-08-06,-0.459237588,0.05739588,-0.200900526,-0.1633
104,1888-09-06,-0.446804463,0.086407361,-0.178005008,-0.069
105,1888-10-06,-0.468773536,0.059194461,-0.196156453,0.019
106,1888-11-06,-0.477633697,0.058064961,-0.212832926,-0.0418
107,1888-12-06,-0.40676842,0.087764116,-0.147584838,0.0445
108,1889-01-06,-0.476423511,0.035299213,-0.216243677,-0.0944
109,1889-02-06,-0.495945563,0.021785753,-0.224612813,0.0152
110,1889-03-06,-0.429661128,0.069825631,-0.187400414,0.1207
111,1889-04-06,-0.437929309,0.092856439,-0.183841502,0.0496
112,1889-05-06,-0.457808757,0.064362253,-0.181219888,-0.0326
113,1889-06-06,-0.474762472,0.049242301,-0.202648969,-0.0698
114,1889-07-06,-0.460681736,0.053759231,-0.202391715,-0.1604
115,1889-08-06,-0.463770609,0.0698445,-0.204522682,-0.137
116,1889-09-06,-0.441321585,0.057496725,-0.185733205,-0.2264
117,1889-10-06,-0.467922348,0.053350538,-0.200839398,-0.1913
118,1889-11-06,-0.468331198,0.041506662,-0.214601723,-0.2769
119,1889-12-06,-0.405639585,0.09109737,-0.161860357,-0.175
120,1890-01-06,-0.453433337,0.033071405,-0.219489004,-0.3594
121,1890-02-06,-0.494009265,0.020720441,-0.225919477,-0.4268
122,1890-03-06,-0.452548717,0.063051318,-0.192814318,-0.3189
123,1890-04-06,-0.46116826,0.063381833,-0.191175425,-0.2588
124,1890-05-06,-0.455278431,0.080947161,-0.190168602,-0.3892
125,1890-06-06,-0.460583918,0.053731467,-0.206691204,-0.2875
126,1890-07-06,-0.463320292,0.049018633,-0.206606979,-0.2802
127,1890-08-06,-0.470388062,0.057395115,-0.208186601,-0.3257
128,1890-09-06,-0.442046327,0.059366568,-0.193489929,-0.3508
129,1890-10-06,-0.466850372,0.069838112,-0.205488462,-0.2941
130,1890-11-06,-0.457296759,0.034808042,-0.216469185,-0.3419
131,1890-12-06,-0.422934379,0.058930431,-0.176143756,-0.2302
132,1891-01-06,-0.500430634,0.028281473,-0.222547242,-0.3772
133,1891-02-06,-0.473534909,0.022741757,-0.22720189,-0.5228
134,1891-03-06,-0.468464396,0.037776633,-0.198338685,-0.212
135,1891-04-06,-0.460636933,0.060128093,-0.198579849,-0.2523
136,1891-05-06,-0.449675119,0.064340155,-0.199067342,-0.1374
137,1891-06-06,-0.45054003,0.0497305,-0.210644938,-0.2023
138,1891-07-06,-0.481506793,0.036779336,-0.210806238,-0.2264
139,1891-08-06,-0.461314803,0.039055114,-0.21189446,-0.2313
140,1891-09-06,-0.44908319,0.061441555,-0.2012735,-0.1514
141,1891-10-06,-0.459930206,0.038263379,-0.210104712,-0.2861
142,1891-11-06,-0.463877474,0.042867396,-0.218437529,-0.3968
143,1891-12-06,-0.443222484,0.051813098,-0.190426282,-0.0421
144,1892-01-06,-0.492715965,0.0377261,-0.22541974,-0.2372
145,1892-02-06,-0.484598278,0.036216355,-0.228466089,-0.1353
146,1892-03-06,-0.46246255,0.055392756,-0.204109313,-0.3032
147,1892-04-06,-0.450816472,0.070920066,-0.198594238,-0.3203
148,1892-05-06,-0.444923899,0.062041892,-0.194238766,-0.3081
149,1892-06-06,-0.470610176,0.035483349,-0.220530522,-0.2831
150,1892-07-06,-0.463913058,0.033606564,-0.220171091,-0.3497
151,1892-08-06,-0.484367052,0.049366896,-0.222913649,-0.3279
152,1892-09-06,-0.440254868,0.023672796,-0.200018131,-0.2198
153,1892-10-06,-0.476327025,0.023798752,-0.218169576,-0.2464
154,1892-11-06,-0.516917486,0.015987531,-0.234846048,-0.4728
155,1892-12-06,-0.408816692,0.098547479,-0.169597961,-0.4708
156,1893-01-06,-0.502714957,0.016069662,-0.238256799,-0.6796
157,1893-02-06,-0.515909591,0.014402637,-0.246625936,-0.6107
158,1893-03-06,-0.44404647,0.044249936,-0.209413537,-0.2218
159,1893-04-06,-0.465478908,0.05417444,-0.205854625,-0.35
160,1893-05-06,-0.444208078,0.048955955,-0.20323301,-0.3421
161,1893-06-06,-0.488478698,0.031463717,-0.224662092,-0.2405
162,1893-07-06,-0.473691438,0.046110749,-0.224404837,-0.2018
163,1893-08-06,-0.483804047,0.022729652,-0.226535804,-0.3281
164,1893-09-06,-0.466532472,0.045222003,-0.207746328,-0.2587
165,1893-10-06,-0.480051229,0.0106704,-0.222852521,-0.2099
166,1893-11-06,-0.491956391,0.012481821,-0.236614846,-0.1657
167,1893-12-06,-0.433821516,0.069122288,-0.183873479,-0.2452
168,1894-01-06,-0.509350493,0.00574656,-0.241502126,-0.436
